,1MFG'1' (Label: 0),1MFL'1' (Label: 0),1MW4'1' (Label: 0),1NB8'1' (Label: 0),1V9E'1' (Label: 1),1V9I'1' (Label: 1),1YY6'1' (Label: 0),1YZE'1' (Label: 0),2A91'1' (Label: 0),2L4K'1' (Label: 0),2LLY'1' (Label: 1),2N2A'1' (Label: 0),3PP0'1' (Label: 0),3RCD'1' (Label: 0),4CNR'1' (Label: 1),4CNV'1' (Label: 1),4CNW'1' (Label: 1),4CNX'1' (Label: 1),4GFU'1' (Label: 0),4JJQ'1' (Label: 0),4KG9'1' (Label: 0),4M5W'1' (Label: 0),4NND'1' (Label: 0),4PYZ'1' (Label: 0),4WPH'1' (Label: 0),5A25'1' (Label: 1),5EZT'1' (Label: 1),5FWI'1' (Label: 0),5KXY'1' (Label: 1),5KYB'1' (Label: 0),5N9R'1' (Label: 0),5N9T'1' (Label: 0),5OB4'1' (Label: 0),5TQS'1' (Label: 1),5UQV'1' (Label: 0),5UQX'1' (Label: 0),5VS6'1' (Label: 0),5WHC'1' (Label: 0),6EOQ'1' (Label: 1),6F5H'1' (Label: 0),6M1K'1' (Label: 0),6QVZ'1' (Label: 1),6QZV'1' (Label: 1),6VN2'1' (Label: 0),6VN3'1' (Label: 0),6VN4'1' (Label: 0),6VN5'1' (Label: 0),6VN6'1' (Label: 0),7A3F'1' (Label: 1),7CM2'1' (Label: 0),7SVL'1' (Label: 1),7VIJ'1' (Label: 0),7XHH'1' (Label: 0),7XHK'1' (Label: 0),7XPY'1' (Label: 0),8D4Z'1' (Label: 0)
1MFG'1' (Label: 0),0.0,0.9990042068653973,0.7338052386052069,0.031855822147161095,0.008519986146688587,0.9424137269293492,0.8205871715814366,0.6034117270642357,0.7718938818096676,0.0341315563840519,0.8549824959299154,0.8612833339019239,0.9990042068653973,0.7496148441807781,0.4019782148020884,0.7572720163590027,0.5788590995373032,0.8132129910350875,0.9663858102722144,0.9662442161470954,0.8009555441736537,0.7572720163590027,0.8136948760024785,0.04297420425951905,0.9953552389098888,0.8132129910350875,0.8941267832233181,0.963532760514289,0.9445751971332442,0.5788590995373032,0.7303527301938271,0.031855822147161095,0.008519986146688587,0.9955517980850991,0.9957381599135046,0.5788590995373032,0.8132129910350875,0.7582630727546082,0.7303527301938271,0.7572720163590027,0.8031675598805388,0.5981575354304655,0.7021661564927496,0.7572720163590027,0.9992373076656506,0.7232738212580154,0.7303527301938271,0.8034709974782221,0.8586210713963982,0.9493876274230059,0.7021661564927496,0.8906464338712706,0.944627724044623,0.031855822147161095,0.0,0.7303527301938271
1MFL'1' (Label: 0),0.7657359928541394,0.0,0.8035951449293444,0.7593841790840498,0.7659146644468018,0.8978118205604512,0.684623502517997,0.5981907823450358,0.6968550690642723,0.7594113616498458,0.8851531861535796,0.4076209842105215,0.0,0.6515913061763124,0.7145635000701648,0.6276973882395404,0.7308250344300313,0.6081493314379104,0.522369636400326,0.5240816585081485,0.6629975222630006,0.6276973882395404,0.7277247656731022,0.7607097352265048,0.6117779655600768,0.6081493314379104,0.5590497574187365,0.5257797920215802,0.8834704824953045,0.7308250344300313,0.8111335369476033,0.7593841790840498,0.7659146644468018,0.6305683471722097,0.5759279424722054,0.7308250344300313,0.6081493314379104,0.6231814929458599,0.8111335369476033,0.6276973882395404,0.7334622982762439,0.5095132276435087,0.8171372715710664,0.6276973882395404,0.6808170386203852,0.7223051747242252,0.8111335369476033,0.7331025623397387,0.4130252211354844,0.6273069583079782,0.8171372715710664,0.5679784166201522,0.8827188274212915,0.7593841790840498,0.7657359928541394,0.8111335369476033
1MW4'1' (Label: 0),0.5071682706005328,0.7245974938586622,0.0,0.5522929377362363,0.5143569653554597,0.563448460037362,0.30781141331216477,0.3784197638685699,0.5289774219391186,0.554266469615093,0.2573710646989757,0.44456405907031765,0.7245974938586622,0.3939728509289264,0.28366551153579134,0.412506115051286,0.26474236606140356,0.320867530399071,0.49491839265887866,0.4927908212705989,0.3809990334874017,0.412506115051286,0.38047222126656716,0.48183022917929774,0.6031461837999543,0.320867530399071,0.5227373318311911,0.5736247081674059,0.5798341925355938,0.26474236606140356,0.030241558396116214,0.5522929377362363,0.5143569653554597,0.6199404529365966,0.6358634243863521,0.26474236606140356,0.320867530399071,0.4149048478357133,0.030241558396116214,0.412506115051286,0.3952842015597731,0.26672855085301983,0.0553626595190913,0.412506115051286,0.6906212038109651,0.33369822186298553,0.030241558396116214,0.39552330446705103,0.44137527838992513,0.436734585179833,0.0553626595190913,0.5223246825271136,0.580232387848768,0.5522929377362363,0.5071682706005328,0.030241558396116214
1NB8'1' (Label: 0),0.031014887181453694,0.9645643098088467,0.7780000232877732,0.0,0.02908503512838659,0.9313369087779954,0.8573520297261658,0.6405670239612221,0.7665465113190986,0.002279332778541337,0.8979343692925491,0.8983519941680753,0.9645643098088467,0.7823230528555821,0.4366925683241931,0.7889799565288913,0.6139562121219685,0.8618757200399365,0.998615784314075,0.9986099535381253,0.8421118832098222,0.7889799565288913,0.846600432608779,0.07417471856212665,0.9639232097731572,0.8618757200399365,0.8494469747409024,0.9982164672938825,0.9157372238803732,0.6139562121219685,0.7718666278076063,0.0,0.02908503512838659,0.9654499264379643,0.9668974357504878,0.6139562121219685,0.8618757200399365,0.7898415496610303,0.7718666278076063,0.7889799565288913,0.8352863939657186,0.633780049370418,0.7430869014976701,0.7889799565288913,0.972859285237802,0.7594818186962381,0.7718666278076063,0.8355771318542266,0.8957365670312281,0.9969154102328509,0.7430869014976701,0.8459279944773962,0.9154480203698685,0.0,0.031014887181453694,0.7718666278076063
1V9E'1' (Label: 1),0.00852648923466678,1.0,0.7447743604122645,0.02989644604283872,0.0,0.9481560379294021,0.8264739968515081,0.6093610700658085,0.7739211694718994,0.02878396632855892,0.8656431274913845,0.8672188042666794,1.0,0.7558146811928214,0.4061789055986618,0.7632822525965,0.5875701840189315,0.8210049150971545,0.9715465054365062,0.9714266498724743,0.8090770249317196,0.7632822525965,0.8189637461536186,0.05071815490633321,1.0,0.8210049150971545,0.9007291898019703,0.9690863497795079,0.9501019735094207,0.5875701840189315,0.736999976337683,0.02989644604283872,0.0,1.0,1.0,0.5875701840189315,0.8210049150971545,0.7642487692461194,0.736999976337683,0.7632822525965,0.808310459246308,0.6049097786542612,0.7087184264570948,0.7632822525965,1.0,0.7322606265579806,0.736999976337683,0.808611863354043,0.8645640411335421,0.9611839972155763,0.7087184264570948,0.8972545490013383,0.9501492626398785,0.02989644604283872,0.00852648923466678,0.736999976337683
1V9I'1' (Label: 1),0.7601003549245052,0.944719558946485,0.65752498596718,0.7715334480332626,0.7641485398443264,0.0,0.5441158255573437,0.95881364946256,0.2589397767876268,0.7737256200480814,0.5138436445941451,0.859167853589345,0.944719558946485,0.34306738249605234,0.8076705425142021,0.3897110179781286,0.41580049319669,0.6832477309808765,0.6127040079398955,0.6110725886612561,0.5638050690593631,0.3897110179781286,0.45094936716240774,0.7856281076163292,0.5372813802163863,0.6832477309808765,0.8118243506968357,0.9615533876874137,0.03753447416457188,0.41580049319669,0.6561857606146578,0.7715334480332626,0.7641485398443264,0.5568629511792746,0.5754286168229711,0.41580049319669,0.6832477309808765,0.3878385702675356,0.6561857606146578,0.3897110179781286,0.4490947522700604,0.6412670567296214,0.6274270104137684,0.3897110179781286,0.6403099952019182,0.5416544889145489,0.6561857606146578,0.44953818939797724,0.856502918208096,0.9400485228267875,0.6274270104137684,0.808272841281848,0.0384466123125861,0.7715334480332626,0.7601003549245052,0.6561857606146578
1YY6'1' (Label: 0),0.6493416561982676,0.7067870781739497,0.35242117308857135,0.6968291881910048,0.6535011793720892,0.5338393297754112,0.0,0.49155087179102325,0.34854959361895027,0.6980336681353964,0.41096307227035217,0.31055579001458194,0.7067870781739497,0.205607893737658,0.4604076907093363,0.17673370912412048,0.2723883594643119,0.3340500889846691,0.5167739323039361,0.513556893450212,0.29218797456411033,0.17673370912412048,0.11496794485750782,0.629524738415329,0.7474453197020057,0.3340500889846691,0.5505666733771721,0.4482383716610887,0.5513364254084955,0.2723883594643119,0.34165154175182283,0.6968291881910048,0.6535011793720892,0.758133061785834,0.7682663169075147,0.2723883594643119,0.3340500889846691,0.1823293714404084,0.34165154175182283,0.17673370912412048,0.13535557430215586,0.3788671558996278,0.357826467062805,0.17673370912412048,0.7907099096422063,0.20989498452303793,0.34165154175182283,0.1352323285693733,0.30719769201794866,0.3611127914141646,0.357826467062805,0.5501780857883467,0.5517616286135597,0.6968291881910048,0.6493416561982676,0.34165154175182283
1YZE'1' (Label: 0),0.4724702266032809,0.6110667768504148,0.4287096334116885,0.5151620819678594,0.47676464849081834,0.9308197203000937,0.4863855111269694,0.0,0.7214679689988626,0.5163870849936055,0.6740238895944842,0.4186903850125483,0.6110667768504148,0.5047666495306634,0.2423886111692687,0.5106580737788898,0.45450176938237186,0.5725217739515749,0.4429626126797689,0.440616186556168,0.6466112884624485,0.5106580737788898,0.5502963237296531,0.4488584392224126,0.6988844232440635,0.5725217739515749,0.735171017941057,0.4002603025686896,0.9334163657211877,0.45450176938237186,0.41510406912494535,0.5151620819678594,0.47676464849081834,0.7133462884651008,0.7286041137483669,0.45450176938237186,0.5725217739515749,0.5126560529090451,0.41510406912494535,0.5106580737788898,0.5602759043502274,0.39314391086680656,0.42855617727748235,0.5106580737788898,0.7356059659377336,0.5363545469160789,0.41510406912494535,0.559984645894261,0.41795590956108425,0.3628829906660557,0.42855617727748235,0.7349420419504047,0.9334794679680407,0.5151620819678594,0.4724702266032809,0.41510406912494535
2A91'1' (Label: 0),0.650504886559785,0.7661674263953641,0.6449986902385858,0.6635139962742012,0.6517159223036444,0.27055925969674416,0.37120088611334867,0.7765140523080687,0.0,0.6649656480150855,0.580408084161824,0.6772933320852373,0.7661674263953641,0.1851370631050435,0.6794252836000195,0.23661045609376366,0.294861464426137,0.49039147779448805,0.8064125894847355,0.8055971350517149,0.41239146224935397,0.23661045609376366,0.24493117386719357,0.6781161322065138,0.8122425766770447,0.49039147779448805,0.6338369163592067,0.7913804567248509,0.2817996329328307,0.294861464426137,0.6370209647273224,0.6635139962742012,0.6517159223036444,0.8201881942138847,0.8277215880517287,0.294861464426137,0.49039147779448805,0.23536311698615184,0.6370209647273224,0.23661045609376366,0.22545628632314801,0.4692651271839925,0.6038812995257979,0.23661045609376366,0.8420960015195809,0.4168875279183027,0.6370209647273224,0.2248167915967676,0.6743986011392025,0.7762753950130564,0.6038812995257979,0.6301315160245797,0.281714850710597,0.6635139962742012,0.650504886559785,0.6370209647273224
2L4K'1' (Label: 0),0.03323430073681501,0.9647078207383286,0.7808682992387175,0.002279590305719877,0.028005912759547193,0.9340886580301132,0.858931010002993,0.6421627728350257,0.7683103767036736,0.0,0.9007219790067312,0.8999440221644366,0.9647078207383286,0.7839677180703001,0.4378450637383643,0.7905743252925939,0.6162340420672265,0.8639656910936193,1.0,1.0,0.8449636875484434,0.7905743252925939,0.8480136635443103,0.07619965600834973,0.9649853325509549,0.8639656910936193,0.8509567545292315,0.9997060661036111,0.9183856879461891,0.6162340420672265,0.7736495702383464,0.002279590305719877,0.028005912759547193,0.9664671017430313,0.9678719954878967,0.6162340420672265,0.8639656910936193,0.7914294086299554,0.7736495702383464,0.7905743252925939,0.8366658366685258,0.635571254450474,0.7448443691593561,0.7905743252925939,0.9729692023632005,0.761831745951527,0.7736495702383464,0.8369560291287313,0.897330606823543,1.0,0.7448443691593561,0.8474390796466414,0.9176009433848307,0.002279590305719877,0.03323430073681501,0.7736495702383464
