,1MFG'1' (Label: 0),1MFL'1' (Label: 0),1MW4'1' (Label: 0),1NB8'1' (Label: 0),1V9E'1' (Label: 1),1V9I'1' (Label: 1),1YY6'1' (Label: 0),1YZE'1' (Label: 0),2A91'1' (Label: 0),2L4K'1' (Label: 0),2LLY'1' (Label: 0),2N2A'1' (Label: 0),3PP0'1' (Label: 0),3RCD'1' (Label: 0),4CNR'1' (Label: 1),4CNV'1' (Label: 1),4CNW'1' (Label: 1),4CNX'1' (Label: 1),4GFU'1' (Label: 0),4JJQ'1' (Label: 0),4KG9'1' (Label: 0),4M5W'1' (Label: 0),4NND'1' (Label: 0),4PYZ'1' (Label: 0),4WPH'1' (Label: 0),5A25'1' (Label: 1),5EZT'1' (Label: 1),5FWI'1' (Label: 0),5KXY'1' (Label: 1),5KYB'1' (Label: 0),5N9R'1' (Label: 0),5N9T'1' (Label: 0),5OB4'1' (Label: 0),5TQS'1' (Label: 0),5UQV'1' (Label: 0),5UQX'1' (Label: 0),5VS6'1' (Label: 0),5WHC'1' (Label: 0),6EOQ'1' (Label: 1),6F5H'1' (Label: 0),6M1K'1' (Label: 0),6QVZ'1' (Label: 1),6QZV'1' (Label: 1),6VN2'1' (Label: 0),6VN3'1' (Label: 0),6VN4'1' (Label: 0),6VN5'1' (Label: 0),6VN6'1' (Label: 0),7A3F'1' (Label: 1),7CM2'1' (Label: 0),7SVL'1' (Label: 1),7VIJ'1' (Label: 0),7XHH'1' (Label: 0),7XHK'1' (Label: 0),7XPY'1' (Label: 0),8D4Z'1' (Label: 0)
1MFG'1' (Label: 0),0.0,0.0,0.6247542811488572,0.8083808145179763,0.6415117443321494,0.6416158622613022,0.7735776911775524,0.7735776911775524,0.9338245799083953,0.6247542811488572,0.26543869860783553,0.4030545966901325,0.7239920918404238,0.7239920918404238,0.6416072914892346,0.6407051351630592,0.6407051351630592,0.6407051351630592,0.7216730240616495,0.7455985545443061,0.9890854628849577,0.8081908523392678,0.7215826354525355,0.9637867116661798,0.961735703960958,0.6415936094263278,0.6413320579000312,0.9654675484213587,0.971640017450832,0.8087352546330467,0.8081908523392678,0.8080771533175553,0.024940919718845194,0.756246757548738,0.8103965040008206,0.8103965040008206,0.8083808145179763,0.8083347519628492,0.9702083753588088,0.8080771533175553,0.8083808145179763,0.484482402038144,0.9676449506410664,0.8081908523392678,0.7967452025876899,0.8081908523392678,0.8081908523392678,0.8081908523392678,0.9676449506410664,0.809976462570901,0.9702083753588088,0.964502168681678,0.8080771533175553,0.8080771533175553,0.9624977102214396,0.8081908523392678
1MFL'1' (Label: 0),0.0,0.0,0.6247542811488572,0.8083808145179763,0.6415117443321494,0.6416158622613022,0.7735776911775524,0.7735776911775524,0.9338245799083953,0.6247542811488572,0.26543869860783553,0.4030545966901325,0.7239920918404238,0.7239920918404238,0.6416072914892346,0.6407051351630592,0.6407051351630592,0.6407051351630592,0.7216730240616495,0.7455985545443061,0.9890854628849577,0.8081908523392678,0.7215826354525355,0.9637867116661798,0.961735703960958,0.6415936094263278,0.6413320579000312,0.9654675484213587,0.971640017450832,0.8087352546330467,0.8081908523392678,0.8080771533175553,0.024940919718845194,0.756246757548738,0.8103965040008206,0.8103965040008206,0.8083808145179763,0.8083347519628492,0.9702083753588088,0.8080771533175553,0.8083808145179763,0.484482402038144,0.9676449506410664,0.8081908523392678,0.7967452025876899,0.8081908523392678,0.8081908523392678,0.8081908523392678,0.9676449506410664,0.809976462570901,0.9702083753588088,0.964502168681678,0.8080771533175553,0.8080771533175553,0.9624977102214396,0.8081908523392678
1MW4'1' (Label: 0),0.4004945355131187,0.4004945355131187,0.0,0.44618606912022185,0.0829549992530294,0.08317852745268524,0.3060424808808967,0.3060424808808967,0.36787808694959734,0.0,0.2964142005417877,0.4559192857400437,0.2619300757279962,0.2619300757279962,0.0832805414367349,0.08495819458935844,0.08495819458935844,0.08495819458935844,0.2653661415896892,0.27186306968764923,0.5292461259605321,0.44772885084731906,0.2652129490024588,0.5215025453815492,0.5190354366820464,0.08307125701400464,0.08271655378963433,0.6189064869583067,0.5301721614596214,0.44607977014955735,0.44772885084731906,0.44776475359881995,0.4255562537654318,0.4081229401296911,0.445980608800668,0.445980608800668,0.44618606912022185,0.44623726034367694,0.6039435825219543,0.44776475359881995,0.44618606912022185,0.4901812883831584,0.6022380835976798,0.44772885084731906,0.45062332953288825,0.44772885084731906,0.44772885084731906,0.44772885084731906,0.6022380835976798,0.4458632508658682,0.6039435825219543,0.6003264413901935,0.44776475359881995,0.44776475359881995,0.5993919420024177,0.44772885084731906
1NB8'1' (Label: 0),0.8013481163465084,0.8013481163465084,0.689975826293899,0.0,0.6480171505780213,0.6485225665871422,0.35933210360044093,0.35933210360044093,0.9850767929519205,0.689975826293899,0.7363769885375544,0.4828517758682895,0.34654532285283224,0.34654532285283224,0.6487103908839832,0.6492762735691009,0.6492762735691009,0.6492762735691009,0.7731621354553615,0.3564119231349075,0.58459587632744,0.0019948700524113324,0.7736231688430617,0.9819579683564996,0.9754345237040428,0.6483011851959096,0.6474255961188614,0.21371337580062186,0.5726573912032844,0.002015044106851846,0.0019948700524113324,0.0015197566662645387,0.7796138749621769,0.7997179867398748,0.009951172528094021,0.009951172528094021,0.0,0.007302575100233542,0.6220553017204528,0.0015197566662645387,0.0,0.9914215000371736,0.6224570655026975,0.0019948700524113324,0.021097715955340702,0.0019948700524113324,0.0019948700524113324,0.0019948700524113324,0.6224570655026975,0.008200727918405827,0.6220553017204528,0.9765007321869388,0.0015197566662645387,0.0015197566662645387,0.9730405750805085,0.0019948700524113324
1V9E'1' (Label: 1),0.4116045376294183,0.4116045376294183,0.0830291806309329,0.4194274208467192,0.0,0.0013254414193484949,0.3123430174161573,0.3123430174161573,0.3738170351063396,0.0830291806309329,0.25626235364909533,0.4213175887177749,0.33411954131692134,0.33411954131692134,0.001976110758829694,0.002190845764221824,0.002190845764221824,0.002190845764221824,0.3166512954490583,0.3113539127173692,0.5310874500529499,0.4212409986922771,0.3171760860887166,0.504777653174708,0.5079759682907199,0.0006667549890873184,0.0013579070883083268,0.6046996606004444,0.5301516342056151,0.41887099143361267,0.4212409986922771,0.4213876320340801,0.39339771641316673,0.4213293440211564,0.4166186602669018,0.4166186602669018,0.4194274208467192,0.4195913804922005,0.6262050675026903,0.4213876320340801,0.4194274208467192,0.5175097972251583,0.6266240764736621,0.4212409986922771,0.42992658172280396,0.4212409986922771,0.4212409986922771,0.4212409986922771,0.6266240764736621,0.4170271972820748,0.6262050675026903,0.5942465598371187,0.4213876320340801,0.4213876320340801,0.5958668141418756,0.4212409986922771
1V9I'1' (Label: 1),0.4117151309866416,0.4117151309866416,0.0832617643482432,0.41979919943423305,0.001325582406850039,0.0,0.3129759601203586,0.3129759601203586,0.37301843395381107,0.0832617643482432,0.2561463188354575,0.421119484269386,0.33436801588793613,0.33436801588793613,0.0006508618769160675,0.0008079538022124859,0.0008079538022124859,0.0008079538022124859,0.3168172876546512,0.31171605690489707,0.531456891159222,0.42166499466195634,0.3171578969051977,0.504349623197593,0.5077312691172944,0.0006588174296934467,0.0026834830554663836,0.6051338381592034,0.5304390228887111,0.41924287044134223,0.42166499466195634,0.42181158624489845,0.3931816980988494,0.4205497221666123,0.4169531376655806,0.4169531376655806,0.41979919943423305,0.4199631537772043,0.6265540242050949,0.42181158624489845,0.41979919943423305,0.5169821188162113,0.6266907306174799,0.42166499466195634,0.43042798172977736,0.42166499466195634,0.42166499466195634,0.42166499466195634,0.6266907306174799,0.4175342114372621,0.6265540242050949,0.5941505074394452,0.42181158624489845,0.42181158624489845,0.5957452902102529,0.42166499466195634
1YY6'1' (Label: 0),0.6279156281001618,0.6279156281001618,0.3875178529936823,0.29423081357625275,0.3951423829660159,0.39590100109274023,0.0,0.0,0.7412379774205522,0.3875178529936823,0.5275328236959302,0.2568168747885724,0.08604830350822744,0.08604830350822744,0.39623665045754536,0.3933897627085014,0.3933897627085014,0.3933897627085014,0.5365308281672491,0.056890587084339805,0.24912477768417118,0.29402177768456966,0.5360496168387523,0.7600602922202457,0.7514451906425993,0.3955421650897257,0.39432020713520977,0.46331373334230486,0.3010986763076343,0.29459024479412665,0.29402177768456966,0.29396652035719034,0.6139446608275894,0.6054994929430406,0.29597812103395943,0.29597812103395943,0.29423081357625275,0.27776596132201337,0.49153357943516013,0.29396652035719034,0.29423081357625275,0.7764947531490327,0.48734105816517137,0.29402177768456966,0.3259898944142699,0.29402177768456966,0.29402177768456966,0.29402177768456966,0.48734105816517137,0.29575494576663264,0.49153357943516013,0.7995851247642792,0.29396652035719034,0.29396652035719034,0.7974230102386739,0.29402177768456966
1YZE'1' (Label: 0),0.6279156281001618,0.6279156281001618,0.3875178529936823,0.29423081357625275,0.3951423829660159,0.39590100109274023,0.0,0.0,0.7412379774205522,0.3875178529936823,0.5275328236959302,0.2568168747885724,0.08604830350822744,0.08604830350822744,0.39623665045754536,0.3933897627085014,0.3933897627085014,0.3933897627085014,0.5365308281672491,0.056890587084339805,0.24912477768417118,0.29402177768456966,0.5360496168387523,0.7600602922202457,0.7514451906425993,0.3955421650897257,0.39432020713520977,0.46331373334230486,0.3010986763076343,0.29459024479412665,0.29402177768456966,0.29396652035719034,0.6139446608275894,0.6054994929430406,0.29597812103395943,0.29597812103395943,0.29423081357625275,0.27776596132201337,0.49153357943516013,0.29396652035719034,0.29423081357625275,0.7764947531490327,0.48734105816517137,0.29402177768456966,0.3259898944142699,0.29402177768456966,0.29402177768456966,0.29402177768456966,0.48734105816517137,0.29575494576663264,0.49153357943516013,0.7995851247642792,0.29396652035719034,0.29396652035719034,0.7974230102386739,0.29402177768456966
2A91'1' (Label: 0),0.5915486097562583,0.5915486097562583,0.3635312102658878,0.6294916910757226,0.36906994756727246,0.3682423178006676,0.5784761309254239,0.5784761309254239,0.0,0.3635312102658878,0.5088483799825848,0.6206056071224524,0.5412096258011323,0.5412096258011323,0.3678016915810025,0.36729540623733187,0.36729540623733187,0.36729540623733187,0.5035709507804211,0.5339286238066303,0.7737734991174913,0.6317843180569173,0.5039000429157209,0.2652855510712625,0.2571443020494621,0.3686705791353731,0.3698758411722693,0.44159605829616877,0.2766036173445715,0.6294453307347878,0.6317843180569173,0.6317978186569533,0.5961650026842923,0.6106244102489794,0.6291317714473958,0.6291317714473958,0.6294916910757226,0.6295376221921568,0.41660652499311557,0.6317978186569533,0.6294916910757226,0.2681499660990228,0.4170180012435191,0.6317843180569173,0.6326375226313649,0.6317843180569173,0.6317843180569173,0.6317843180569173,0.4170180012435191,0.629159025991845,0.41660652499311557,0.4031842044310842,0.6317978186569533,0.6317978186569533,0.4013140350694326,0.6317843180569173
2L4K'1' (Label: 0),0.4004945355131187,0.4004945355131187,0.0,0.44618606912022185,0.0829549992530294,0.08317852745268524,0.3060424808808967,0.3060424808808967,0.36787808694959734,0.0,0.2964142005417877,0.4559192857400437,0.2619300757279962,0.2619300757279962,0.0832805414367349,0.08495819458935844,0.08495819458935844,0.08495819458935844,0.2653661415896892,0.27186306968764923,0.5292461259605321,0.44772885084731906,0.2652129490024588,0.5215025453815492,0.5190354366820464,0.08307125701400464,0.08271655378963433,0.6189064869583067,0.5301721614596214,0.44607977014955735,0.44772885084731906,0.44776475359881995,0.4255562537654318,0.4081229401296911,0.445980608800668,0.445980608800668,0.44618606912022185,0.44623726034367694,0.6039435825219543,0.44776475359881995,0.44618606912022185,0.4901812883831584,0.6022380835976798,0.44772885084731906,0.45062332953288825,0.44772885084731906,0.44772885084731906,0.44772885084731906,0.6022380835976798,0.4458632508658682,0.6039435825219543,0.6003264413901935,0.44776475359881995,0.44776475359881995,0.5993919420024177,0.44772885084731906
