,1MFG'1' (Label: 0),1MFL'1' (Label: 0),1MW4'1' (Label: 0),1NB8'1' (Label: 0),1V9E'1' (Label: 1),1V9I'1' (Label: 1),1YY6'1' (Label: 0),1YZE'1' (Label: 0),2A91'1' (Label: 0),2L4K'1' (Label: 0),2LLY'1' (Label: 1),2N2A'1' (Label: 0),3PP0'1' (Label: 0),3RCD'1' (Label: 0),4CNR'1' (Label: 1),4CNV'1' (Label: 1),4CNW'1' (Label: 1),4CNX'1' (Label: 1),4GFU'1' (Label: 0),4JJQ'1' (Label: 0),4KG9'1' (Label: 0),4M5W'1' (Label: 0),4NND'1' (Label: 0),4PYZ'1' (Label: 0),4WPH'1' (Label: 0),5A25'1' (Label: 1),5EZT'1' (Label: 1),5FWI'1' (Label: 0),5KXY'1' (Label: 1),5KYB'1' (Label: 0),5N9R'1' (Label: 0),5N9T'1' (Label: 0),5OB4'1' (Label: 0),5TQS'1' (Label: 1),5UQV'1' (Label: 0),5UQX'1' (Label: 0),5VS6'1' (Label: 0),5WHC'1' (Label: 0),6EOQ'1' (Label: 1),6F5H'1' (Label: 0),6M1K'1' (Label: 0),6QVZ'1' (Label: 1),6QZV'1' (Label: 1),6VN2'1' (Label: 0),6VN3'1' (Label: 0),6VN4'1' (Label: 0),6VN5'1' (Label: 0),6VN6'1' (Label: 0),7A3F'1' (Label: 1),7CM2'1' (Label: 0),7SVL'1' (Label: 1),7VIJ'1' (Label: 0),7XHH'1' (Label: 0),7XHK'1' (Label: 0),7XPY'1' (Label: 0),8D4Z'1' (Label: 0)
1MFG'1' (Label: 0),0.0,0.20303455534116815,0.41789065687474514,1.0,0.1496806692453,0.1231107205623902,0.1489003192621497,0.1754805481467856,0.286180954266482,0.41789065687474514,0.7405692496254935,0.9999999999999999,1.0,1.0,0.1445329990149548,0.1066759026755563,0.1141039051603906,0.1291633536531495,0.4331688719443822,0.1475130184952416,0.157279971024991,1.0,0.44777979157227005,0.8019173833356833,0.5365472469343591,0.1246920098556846,0.1218291933643465,0.5490243606835535,0.5525996112730807,1.0,1.0,1.0,0.999877660875948,0.1450456907364272,1.0,1.0,1.0,1.0,0.1263921263921263,1.0,1.0,0.9998548199767714,0.25048828125,0.6457635848570693,0.6457635848570693,0.6457635848570693,0.6457635848570693,0.6457635848570693,0.25048828125,1.0,0.25115785411038205,0.4543695949021393,1.0,1.0,0.45801962126397455,1.0
1MFL'1' (Label: 0),0.181128237227134,0.0,0.2280701754385965,0.8934010152284266,0.205001349284879,0.1776801405975395,0.2575381340901028,0.2079462889726846,0.4157592555929519,0.2280701754385965,0.6412910254664304,0.8921054690556294,0.7853577371048251,0.7853577371048251,0.2039043610638488,0.2037405836003117,0.2118200836820084,0.2078805548193303,0.5534873289975331,0.2307416053151373,0.1810938065918145,0.8849415204678361,0.5251472587222475,0.6884252079515016,0.5821110843952872,0.2094332981344597,0.2091635214605459,0.5447824506120471,0.8292031098153547,0.8783206106870229,0.8783705421861409,0.8783705421861409,1.0,0.2954667622289912,0.8787202380952379,0.8785660941000746,0.8934010152284266,0.8768645357686454,0.3262539929206596,0.8783705421861409,0.879074658254469,1.0,0.22617187499999997,0.6538758691733197,0.6538758691733197,0.6538758691733197,0.6538758691733197,0.6538758691733197,0.22617187499999997,0.8555489437667358,0.19355461211887295,0.4813381884387802,0.880948851000741,0.8789021263761121,0.5297741273100616,0.888617418798505
1MW4'1' (Label: 0),0.3205539472654722,0.19610594632520603,0.0,0.6616388687454678,0.2188540073760907,0.2369068541300527,0.2298687477829017,0.2013243814954474,0.2334191249257572,0.0,0.4236688002178945,0.7670761286284329,0.5436393888972921,0.5436393888972921,0.2223515715948777,0.2480734262706728,0.2430264993026499,0.2327944164678859,0.3469387755102041,0.2203268091219249,0.2136906917783412,0.6513157894736841,0.31649297689170824,0.4631326660087409,0.3606636210627554,0.2358324533614924,0.2377775827262354,0.3215367834201915,0.6054421768707483,0.6343511450381678,0.646709191069875,0.646709191069875,0.8045020797651087,0.2239741981723705,0.6409226190476188,0.6398805078416728,0.6616388687454678,0.6336377473363776,0.2502805836139169,0.646709191069875,0.6390265885534024,0.7680023228803716,0.14960937500000004,0.4166881277362863,0.4166881277362863,0.4166881277362863,0.4166881277362863,0.4166881277362863,0.14960937500000004,0.6178220767628682,0.1441528367425705,0.27173418297678653,0.6440326167531502,0.6379128336600814,0.31964407939767286,0.6589537223340038
1NB8'1' (Label: 0),0.5394726547218527,0.5402560954218558,0.46532027743778037,0.0,0.5223531528290006,0.5393673110720563,0.5094004966300106,0.5096109629357123,0.4440704810928529,0.46532027743778037,0.19842026419719455,0.4605273452781472,0.1818181818181816,0.1818181818181816,0.5232381122951553,0.5258463936271538,0.5158647140864714,0.5229260535382985,0.3399865440681767,0.5117615370802657,0.5195581311119161,0.021783625730994124,0.3332578160398731,0.18003665585788792,0.29237797547487365,0.5188313973952833,0.5144386904239445,0.28663192340322374,0.3705053449951408,0.062137404580152406,0.026819367932734137,0.0349376630907508,0.24639099584046967,0.4726751478229707,0.03794642857142843,0.041523525018670536,0.0,0.06073059360730579,0.4918414918414918,0.0349376630907508,0.046267087276550774,0.31823461091753774,0.4880859374999999,0.24208086531032708,0.24208086531032708,0.24208086531032708,0.24208086531032708,0.24208086531032708,0.4880859374999999,0.060844986611127465,0.4942107294480894,0.33022303140646336,0.03291326908821335,0.0500678630674105,0.32854209445585214,0.02428858867490666
1V9E'1' (Label: 1),0.1301932556138017,0.1998772145237677,0.24816401468788252,0.8422044960116029,0.0,0.0290861159929701,0.055427456544874,0.028143106778258,0.1901603642843001,0.24816401468788252,0.5932180307776113,0.8698067443861981,0.7482982907275751,0.7482982907275751,0.0044774782842302,0.0374058360031171,0.0309449093444908,0.0178460994787525,0.39369813859609776,0.0261267732088345,0.0316008692502716,0.8333333333333331,0.40790666062528325,0.6386578316650221,0.4430151478720846,0.0217353044702569,0.0242254015623628,0.44624893952248224,0.5523566569484938,0.8244274809160306,0.8271962887793561,0.8271962887793564,0.9568142892096894,0.1398494893388282,0.8261904761904761,0.8258401792382376,0.8422044960116029,0.8231354642313548,0.1295001295001294,0.8271962887793564,0.826047769265435,0.9487514518002323,0.08798828124999997,0.5643832088591296,0.5643832088591296,0.5643832088591296,0.5643832088591296,0.5643832088591296,0.08798828124999997,0.8030348110681343,0.09253184098803546,0.35832954028220293,0.8286137879911044,0.8256673201628714,0.37200547570157433,0.8378844495544695
1V9I'1' (Label: 1),0.1096158360065722,0.1773373092439922,0.27498980008159934,0.8902102973168966,0.0297742196635782,0.0,0.0782192266761262,0.0549066494987583,0.2156008711146308,0.27498980008159934,0.6382949748059374,0.8903841639934277,0.7880804719407047,0.7880804719407047,0.0264171218769589,0.0286604900857217,0.0355648535564853,0.0292428659775598,0.4308140838753084,0.0492009337403483,0.0440057950018109,0.8817251461988304,0.44540099682827367,0.6853235584378965,0.4828083673960086,0.031502991904259,0.031686123058018,0.4863652890558721,0.5835762876579204,0.8749618320610687,0.8751812119454913,0.8751812119454914,0.9973085392708585,0.1524816341157499,0.8754464285714284,0.8752800597460791,0.8902102973168966,0.8735159817351601,0.151687818354485,0.8751812119454914,0.8757698663061438,0.9968060394889664,0.11367187499999985,0.6070048931238733,0.6070048931238733,0.6070048931238733,0.6070048931238733,0.6070048931238733,0.11367187499999985,0.8522761083011007,0.11597838672327282,0.39599453800637224,0.877687175685693,0.8755843764138139,0.4097650011407713,0.8854555906869789
1YY6'1' (Label: 0),0.1313668727016665,0.25469215927030336,0.26438188494492043,0.8330674401740393,0.056220203292255,0.0775043936731107,0.0,0.0777154419203531,0.1282914274401109,0.26438188494492043,0.5846384311589268,0.8822470855175651,0.7723491151111781,0.7723491151111781,0.0561475776842482,0.0477097584206424,0.0432357043235704,0.048679211944518,0.3866337743888764,0.0339378703537439,0.0823976819992756,0.8241228070175435,0.400770276393294,0.6297758353306077,0.43544121182976653,0.0461105244632171,0.0457298341086632,0.43861350139377053,0.5021865889212829,0.8148091603053436,0.818063206726587,0.8180632067265874,0.9491069243944213,0.1702203906110016,0.8168154761904759,0.8164301717699775,0.8330674401740393,0.8135464231354643,0.0941897608564275,0.8180632067265874,0.8165840468679585,0.9396051103368178,0.13027343749999992,0.5562709245428793,0.5562709245428793,0.5562709245428793,0.5562709245428793,0.5562709245428793,0.13027343749999992,0.7936626004165426,0.14666152064839824,0.3511606736458807,0.8192735359525571,0.8161664907253808,0.36481861738535254,0.828830123598735
1YZE'1' (Label: 0),0.1492840935764024,0.19829854411506748,0.22327621379028967,0.8036258158085571,0.0275254115318881,0.0524604569420035,0.0749379212486697,0.0,0.1919421896654128,0.22327621379028967,0.5569930546098324,0.8507159064235974,0.7113901073967628,0.7113901073967628,0.0290140592818124,0.058533206338211,0.0522140864714086,0.0413464086933474,0.3638708230544966,0.0419285329502603,0.0236327417602318,0.7944444444444444,0.3777752605346624,0.6011560693641618,0.41103630680452025,0.0432066173882435,0.0456420609145967,0.41401042297903295,0.5545432458697764,0.7838167938931299,0.7886343867787764,0.7886343867787763,0.9242720822118914,0.1156602759362121,0.7866071428571426,0.7861090365944734,0.8036258158085571,0.7826484018264841,0.131054131054131,0.7886343867787763,0.786089830253868,0.9101335656213706,0.06416015624999993,0.5301313417460727,0.5301313417460727,0.5301313417460727,0.5301313417460727,0.5301313417460727,0.06416015624999993,0.7634632549836355,0.06705905055962945,0.32806099226217567,0.7891771682727944,0.7855527069823556,0.3416609628108603,0.7996550732969243
2A91'1' (Label: 0),0.2261951334011424,0.36835642869671986,0.24051407588739282,0.6506163886874549,0.1727984168390753,0.1913884007029877,0.1149343738914509,0.1783316471994849,0.0,0.24051407588739282,0.4549911480321393,0.7903919881073468,0.5947662985932536,0.5947662985932536,0.1722038148114982,0.1599272664299939,0.1542887029288703,0.1631769590953264,0.2758466023772146,0.1463458430597953,0.199203187250996,0.6402046783625729,0.3228364295423652,0.45241787677992396,0.2842029333974512,0.1601548750439986,0.1594838936188888,0.3120833838322628,0.3493683187560739,0.6227480916030534,0.6356915047839953,0.6356915047839954,0.7952043063371667,0.1709371080451531,0.6296130952380952,0.6285287528005973,0.6506163886874549,0.6220700152207004,0.1278597945264612,0.6356915047839954,0.6276100345500976,0.8365272938443671,0.18398437499999998,0.39428277105330933,0.39428277105330933,0.39428277105330933,0.39428277105330933,0.39428277105330933,0.18398437499999998,0.6065159178815828,0.2116943265148591,0.26308602639963585,0.6327650111193475,0.6264515156085056,0.23956194387405882,0.6480310434032768
2L4K'1' (Label: 0),0.3205539472654722,0.19610594632520603,0.0,0.6616388687454678,0.2188540073760907,0.2369068541300527,0.2298687477829017,0.2013243814954474,0.2334191249257572,0.0,0.4236688002178945,0.7670761286284329,0.5436393888972921,0.5436393888972921,0.2223515715948777,0.2480734262706728,0.2430264993026499,0.2327944164678859,0.3469387755102041,0.2203268091219249,0.2136906917783412,0.6513157894736841,0.31649297689170824,0.4631326660087409,0.3606636210627554,0.2358324533614924,0.2377775827262354,0.3215367834201915,0.6054421768707483,0.6343511450381678,0.646709191069875,0.646709191069875,0.8045020797651087,0.2239741981723705,0.6409226190476188,0.6398805078416728,0.6616388687454678,0.6336377473363776,0.2502805836139169,0.646709191069875,0.6390265885534024,0.7680023228803716,0.14960937500000004,0.4166881277362863,0.4166881277362863,0.4166881277362863,0.4166881277362863,0.4166881277362863,0.14960937500000004,0.6178220767628682,0.1441528367425705,0.27173418297678653,0.6440326167531502,0.6379128336600814,0.31964407939767286,0.6589537223340038
